,TOP,MIDDLE,ADC,SUPPORT,JUNGLE,TEAM
55,0.0,0.0,22.22,61.9,0.0,0
56,100.0,63.16,60.0,53.85,33.33,0
57,33.33,50.0,63.64,75.0,0.0,0
58,32.26,59.09,50.0,75.0,54.84,0
59,0.0,0.0,42.86,47.5,46.67,0
60,0.0,49.37,69.23,33.33,33.33,0
61,45.83,100.0,61.11,48.78,50.0,0
62,0.0,49.37,56.25,0.0,0.0,0
63,50.0,50.0,62.5,33.33,46.99,0
64,33.33,58.21,50.0,60.66,48.56,0
65,44.23,25.0,50.98,62.5,75.0,0
66,0.0,0.0,62.22,42.86,0.0,0
67,43.48,0.0,50.0,0.0,52.17,0
68,50.0,71.43,50.0,50.0,50.0,0
69,0.0,58.62,45.45,55.71,66.67,0
70,50.0,53.12,51.19,50.0,50.0,0
71,49.25,41.67,68.42,77.78,50.0,0
72,64.0,50.0,62.22,50.0,50.0,0
73,25.0,20.0,44.44,48.81,57.97,0
74,37.5,0.0,66.67,33.33,48.15,0
75,0.0,20.0,16.67,45.0,0.0,0
76,0.0,0.0,53.85,0.0,0.0,0
77,33.33,33.33,0.0,50.0,21.43,0
78,52.94,71.43,66.67,50.0,25.0,0
79,100.0,37.93,52.83,70.59,88.89,0
80,33.33,33.33,50.0,85.71,55.17,0
81,0.0,50.0,0.0,0.0,20.0,0
82,40.0,30.0,53.73,100.0,35.71,0
83,50.0,100.0,50.0,50.0,55.56,0
84,83.33,100.0,62.5,50.0,100.0,0
85,66.1,68.85,0.0,50.0,0.0,0
86,33.33,0.0,43.48,40.0,50.0,0
87,56.16,53.85,61.54,66.67,75.0,0
88,63.89,68.85,53.85,100.0,44.44,0
89,0.0,0.0,44.44,50.0,0.0,0
90,66.67,100.0,100.0,65.22,45.24,0
91,0.0,50.0,0.0,0.0,55.56,0
92,58.06,68.85,54.55,60.0,75.0,0
93,52.7,33.33,50.0,57.83,48.75,0
94,48.15,45.45,25.0,40.0,10.0,0
95,33.33,85.71,100.0,50.0,60.0,0
96,50.0,46.15,0.0,61.36,50.0,0
97,50.0,50.0,53.85,33.33,66.67,0
98,0.0,66.67,25.0,75.0,62.9,0
99,53.45,64.29,42.86,50.0,37.5,0
100,53.16,50.0,28.57,0.0,50.0,0
101,86.67,68.18,66.67,52.63,71.43,0
102,25.0,25.0,77.78,25.0,0.0,0
103,100.0,68.75,100.0,100.0,53.49,0
104,71.7,66.67,100.0,64.71,50.0,0
105,25.0,59.09,60.0,61.11,62.5,0
106,58.82,46.15,100.0,31.25,50.91,0
107,25.0,50.0,37.5,64.29,40.54,0
108,66.67,66.67,75.0,47.33,40.0,0
109,47.06,0.0,28.57,67.19,68.75,0
110,28.57,63.64,62.22,45.45,20.0,0
111,100.0,68.42,77.78,54.93,100.0,0
112,16.67,0.0,50.0,60.0,0.0,0
113,43.75,100.0,76.92,68.42,100.0,0
114,52.27,33.33,66.67,53.33,35.29,0
115,64.18,33.33,61.54,50.0,47.37,0
116,50.0,49.25,42.86,66.67,60.0,0
117,33.33,40.0,60.0,25.0,54.17,0
118,50.0,50.0,43.75,55.0,60.0,0
119,53.33,53.45,61.54,58.33,66.67,0
120,14.29,0.0,0.0,47.62,0.0,0
121,57.14,61.54,0.0,0.0,60.94,0
122,0.0,0.0,0.0,0.0,48.81,0
123,58.18,100.0,42.86,100.0,57.14,0
124,60.0,0.0,51.19,38.1,25.0,0
125,60.0,59.65,51.19,48.68,0.0,0
126,44.83,83.33,50.0,50.0,75.0,0
127,66.67,58.33,72.22,70.0,100.0,0
128,41.03,0.0,28.57,40.0,0.0,0
129,50.0,52.94,87.5,75.0,62.5,0
130,50.0,28.57,41.94,28.89,0.0,0
131,0.0,44.44,0.0,31.25,50.0,0
132,100.0,100.0,100.0,100.0,100.0,0
133,50.0,100.0,51.79,62.5,83.33,0
134,48.28,46.15,58.93,43.96,41.67,0
135,36.71,37.5,37.5,0.0,53.49,0
136,0.0,0.0,52.08,0.0,0.0,0
137,53.45,0.0,20.0,33.33,100.0,0
138,50.0,33.33,66.67,51.85,72.22,0
139,69.23,36.84,100.0,40.0,66.67,0
140,59.57,40.0,76.92,33.33,53.85,0
141,100.0,100.0,75.0,71.43,33.33,0
142,0.0,0.0,0.0,0.0,33.33,0
143,57.14,20.0,25.0,52.53,61.9,0
144,100.0,66.67,75.0,50.0,50.0,0
145,83.33,66.67,44.44,100.0,50.0,0
146,50.0,57.14,72.73,58.33,33.33,0
147,0.0,100.0,42.86,55.0,75.0,0
148,33.33,57.14,25.0,0.0,55.22,0
149,53.85,58.82,63.04,59.81,72.73,0
150,68.75,50.0,62.16,20.0,60.87,0
151,83.33,100.0,61.9,47.83,57.14,0
152,57.89,51.27,0.0,40.0,52.98,0
153,0.0,66.67,60.0,50.0,66.67,0
154,66.67,100.0,50.0,100.0,47.06,0
155,52.17,100.0,80.0,62.5,59.46,0
156,0.0,50.0,0.0,33.33,50.0,0
157,64.29,40.0,100.0,58.0,33.33,0
158,50.0,50.0,70.0,42.86,50.0,0
159,50.0,25.0,58.89,33.33,66.67,0
160,20.0,40.0,66.67,71.43,0.0,0
161,65.0,60.0,50.0,87.5,50.0,0
162,62.5,100.0,57.14,52.78,33.33,0
163,100.0,50.0,53.85,50.0,33.33,0
164,50.0,43.48,16.67,50.0,83.33,0
165,47.22,0.0,0.0,0.0,60.0,0
166,50.0,40.91,30.0,40.0,33.33,0
167,50.0,0.0,0.0,66.67,0.0,0
168,37.5,33.33,28.57,0.0,0.0,0
169,40.0,14.29,25.0,28.57,50.0,0
170,52.8,100.0,36.36,50.0,70.0,0
171,53.45,27.27,50.0,42.31,100.0,0
172,53.95,100.0,44.44,62.5,75.0,0
173,100.0,39.29,45.45,52.94,40.0,0
174,50.0,0.0,70.0,83.33,46.88,0
175,50.0,64.29,0.0,50.0,52.73,0
176,54.88,65.22,44.44,70.59,54.96,0
177,52.63,0.0,0.0,66.67,60.0,0
178,52.05,50.43,0.0,58.33,0.0,0
179,66.67,56.67,43.75,63.64,33.33,0
180,50.0,0.0,25.0,57.89,0.0,0
181,50.0,40.0,66.67,69.05,75.0,0
182,25.0,40.0,30.0,0.0,16.67,0
183,0.0,0.0,43.75,50.0,0.0,0
184,50.0,33.33,39.29,0.0,62.5,0
185,40.0,56.67,66.67,63.64,100.0,0
186,0.0,33.33,60.0,41.18,12.5,0
187,52.63,75.0,16.67,66.67,83.33,0
188,40.0,0.0,30.0,54.84,0.0,0
189,75.0,75.0,50.0,51.61,76.56,0
190,51.79,47.62,47.06,51.72,52.1,0
191,44.44,48.65,37.21,43.75,17.65,0
192,75.0,57.14,58.33,51.69,53.51,0
193,66.67,60.0,57.89,42.86,37.5,0
194,50.0,57.63,53.49,100.0,72.73,0
195,0.0,50.0,50.0,54.55,100.0,0
196,26.09,70.59,51.79,62.5,0.0,0
197,60.0,66.67,28.57,0.0,66.67,0
198,50.0,56.76,54.55,55.17,0.0,0
199,50.0,66.67,35.71,0.0,87.5,0
200,51.72,33.33,100.0,50.0,20.0,0
201,42.86,57.14,33.33,100.0,100.0,0
202,0.0,45.45,33.33,54.55,0.0,0
203,80.0,0.0,62.22,36.36,52.17,0
204,50.0,50.0,57.14,0.0,50.0,0
205,66.67,55.56,40.0,52.94,50.0,0
206,0.0,41.67,37.5,33.33,0.0,0
207,57.5,54.0,50.47,50.0,66.67,0
208,47.62,0.0,58.33,55.56,0.0,0
209,70.0,20.0,56.25,33.33,100.0,0
210,30.0,50.0,0.0,0.0,50.0,0
211,66.67,100.0,60.0,60.0,50.0,0
212,57.74,100.0,62.86,100.0,56.92,0
213,54.55,55.0,33.33,63.64,45.45,0
214,50.0,57.14,55.77,46.81,40.0,0
215,0.0,40.0,55.56,48.39,12.5,0
216,100.0,52.63,56.25,83.33,48.72,0
217,100.0,50.0,55.74,52.78,100.0,0
218,100.0,50.0,80.0,0.0,62.0,0
219,25.0,100.0,57.14,16.67,100.0,0
220,65.52,66.67,53.91,80.0,47.37,0
221,57.63,41.18,42.86,55.56,55.26,0
222,75.0,100.0,25.0,48.25,43.75,0
223,58.04,0.0,28.57,56.86,60.31,0
224,25.0,100.0,50.0,43.75,66.67,0
225,61.22,100.0,75.0,75.0,40.0,0
226,51.38,0.0,48.0,40.0,0.0,0
227,51.72,33.33,50.0,16.67,0.0,0
228,50.0,33.33,60.0,57.14,75.0,0
229,57.89,42.61,61.54,60.87,56.42,0
230,50.0,46.15,53.85,100.0,62.96,0
231,75.0,62.5,55.06,50.0,63.89,0
232,40.0,54.35,50.0,55.07,60.0,0
233,100.0,50.0,62.5,58.33,50.98,0
234,65.0,42.86,100.0,53.85,100.0,0
235,0.0,0.0,11.11,0.0,25.0,0
236,100.0,61.54,56.16,50.0,66.67,0
237,54.55,16.67,40.0,37.5,50.0,0
238,72.73,45.78,48.65,48.39,59.09,0
239,69.23,50.0,58.62,65.0,48.86,0
240,57.14,48.0,25.0,54.55,75.0,0
241,59.38,50.67,60.0,52.63,50.0,0
242,50.0,62.96,100.0,100.0,60.0,0
243,56.67,100.0,68.42,53.95,80.0,0
244,65.22,60.87,57.14,25.0,44.44,0
245,42.86,52.63,36.36,42.11,33.33,0
246,100.0,70.0,75.0,50.0,50.0,0
247,50.0,54.79,70.0,100.0,100.0,0
248,71.15,57.14,45.83,100.0,68.18,0
249,37.5,36.0,46.67,31.91,22.22,0
250,51.75,58.54,50.0,0.0,100.0,0
251,57.14,50.0,52.78,60.0,0.0,0
252,46.43,0.0,0.0,0.0,0.0,0
253,0.0,0.0,33.33,0.0,0.0,0
254,68.18,47.37,50.0,47.62,48.0,0
255,60.0,75.0,100.0,80.0,65.22,0
256,33.33,44.9,44.44,60.0,25.0,0
257,25.0,45.45,0.0,33.33,23.53,0
258,50.0,33.33,31.25,0.0,0.0,0
259,27.78,60.8,100.0,100.0,100.0,0
260,50.0,68.85,62.86,46.15,43.75,0
261,50.0,33.33,40.0,25.0,54.0,0
262,58.33,50.0,61.36,57.5,55.0,0
263,50.0,45.04,50.0,58.0,43.59,0
264,33.33,44.44,60.0,0.0,57.89,0
265,42.31,43.48,54.35,35.71,16.67,0
266,56.76,53.12,42.86,100.0,45.45,0
267,80.0,61.54,68.75,63.16,54.55,0
268,53.85,68.85,33.33,66.67,50.0,0
269,0.0,0.0,53.57,52.94,16.67,0
270,53.33,50.0,58.82,57.98,50.0,0
271,59.09,52.62,51.39,52.94,45.35,0
272,54.55,44.44,46.43,50.0,48.11,0
273,100.0,57.01,52.94,33.33,100.0,0
274,100.0,71.43,80.0,100.0,64.29,0
275,48.84,38.46,50.0,52.94,50.0,0
276,37.5,0.0,0.0,0.0,0.0,0
277,50.0,50.0,20.0,66.67,51.61,0
278,44.0,50.0,50.0,80.0,100.0,0
279,50.0,50.0,57.14,80.0,60.0,0
280,100.0,53.33,57.14,100.0,61.11,0
281,33.33,25.0,0.0,33.33,42.86,0
282,100.0,66.67,77.27,66.67,57.89,0
283,50.0,17.24,100.0,75.0,100.0,0
284,75.0,59.38,40.0,48.57,33.33,0
285,0.0,0.0,50.0,20.0,75.0,0
286,60.0,30.0,37.5,37.5,31.58,0
287,100.0,100.0,43.75,63.64,50.0,0
288,0.0,66.67,43.75,75.0,33.33,0
289,25.0,58.33,55.71,50.0,75.0,0
290,100.0,50.0,48.65,33.33,58.82,0
291,39.73,56.52,58.33,33.33,60.0,0
292,50.0,54.92,33.33,28.57,66.67,0
293,45.0,0.0,46.15,20.0,50.0,0
294,60.0,71.43,50.0,66.67,52.17,0
295,0.0,0.0,50.0,0.0,43.33,0
296,0.0,50.0,33.33,66.67,14.29,0
297,25.0,46.15,47.62,33.33,50.0,0
298,0.0,0.0,55.0,0.0,50.0,0
299,63.33,54.29,100.0,58.1,50.0,0
300,76.92,75.0,70.0,63.64,65.91,0
301,0.0,0.0,0.0,0.0,50.85,0
302,73.91,60.0,57.14,55.26,100.0,0
303,36.36,100.0,66.67,66.67,100.0,0
304,59.65,100.0,63.64,66.67,100.0,0
305,61.29,35.29,59.72,50.0,0.0,0
306,55.06,43.94,56.9,100.0,64.71,0
307,40.0,80.0,52.38,66.67,50.0,0
308,46.34,66.67,62.5,27.27,0.0,0
309,75.0,75.0,50.0,51.85,54.55,0
310,100.0,87.5,27.27,100.0,100.0,0
311,50.0,50.0,33.33,45.45,62.96,0
312,60.0,25.0,66.67,50.0,64.29,0
313,41.67,51.85,59.22,50.0,0.0,0
314,20.0,75.0,0.0,41.67,0.0,0
315,100.0,100.0,57.14,64.91,55.32,0
316,46.15,56.67,58.06,52.56,45.83,0
317,50.0,50.0,57.69,66.07,58.82,0
318,50.0,56.0,50.0,47.62,0.0,0
319,68.85,75.0,33.33,100.0,100.0,0
320,56.67,50.0,33.33,55.56,65.52,0
321,50.0,37.74,57.45,52.0,65.62,0
322,63.64,57.14,66.67,38.46,68.75,0
323,100.0,100.0,100.0,57.14,64.29,0
324,40.0,46.15,0.0,57.89,0.0,0
325,0.0,50.0,32.0,0.0,49.63,0
326,56.67,64.15,100.0,0.0,80.0,0
327,51.06,42.86,100.0,48.0,63.64,0
328,0.0,31.25,50.0,0.0,0.0,0
329,47.37,66.67,0.0,0.0,40.0,0
330,0.0,0.0,47.06,37.5,50.0,0
331,100.0,50.0,100.0,50.0,80.0,0
332,0.0,50.0,50.0,16.67,50.0,0
333,25.0,0.0,0.0,50.0,0.0,0
334,0.0,44.44,25.0,0.0,61.11,0
335,100.0,100.0,73.91,58.82,85.71,0
336,100.0,50.0,47.73,55.0,62.5,0
337,68.85,100.0,100.0,51.35,52.91,0
338,47.83,0.0,40.0,0.0,0.0,0
339,50.0,100.0,61.9,50.0,33.33,0
340,50.0,42.86,39.29,0.0,53.99,0
341,100.0,40.0,56.52,66.67,50.0,0
342,80.0,65.0,61.54,27.78,55.56,0
343,40.0,31.25,10.0,64.29,50.0,0
344,56.76,0.0,0.0,25.0,60.0,0
345,25.0,0.0,0.0,0.0,50.0,0
346,57.14,53.85,100.0,100.0,55.56,0
347,33.33,46.15,0.0,0.0,60.0,0
348,53.45,44.19,35.0,41.18,0.0,0
349,50.0,63.64,50.0,0.0,50.0,0
350,64.52,44.44,50.0,52.94,65.91,0
351,60.87,100.0,62.07,71.43,44.26,0
352,100.0,50.0,100.0,40.0,33.33,0
353,67.65,45.45,66.67,47.58,25.0,0
354,58.62,33.33,0.0,53.85,52.27,0
355,52.63,75.0,61.9,55.0,83.33,0
356,78.57,55.0,100.0,0.0,54.55,0
357,50.85,0.0,50.0,60.0,50.0,0
358,100.0,50.0,28.57,70.0,100.0,0
359,45.45,66.67,0.0,52.94,64.52,0
360,50.0,47.62,70.0,50.0,83.33,0
361,53.73,40.91,47.62,0.0,0.0,0
362,76.19,35.29,61.9,100.0,50.0,0
363,47.62,51.43,0.0,66.67,60.0,0
364,64.0,16.67,56.12,57.69,65.22,0
365,53.45,0.0,0.0,0.0,54.65,0
366,0.0,57.14,63.64,0.0,50.0,0
367,0.0,33.33,57.14,60.0,50.0,0
368,0.0,0.0,50.0,0.0,53.45,0
369,0.0,50.0,41.67,50.0,47.06,0
370,85.71,55.56,50.0,62.5,66.67,0
371,66.67,100.0,70.0,80.0,100.0,0
372,58.54,50.0,43.75,50.0,50.0,0
373,46.15,60.0,22.22,0.0,50.0,0
374,50.0,46.15,75.0,66.67,16.67,0
375,53.25,100.0,75.0,50.0,45.0,0
376,0.0,75.0,33.33,0.0,50.0,0
377,0.0,35.14,37.5,57.14,50.0,0
378,68.29,100.0,50.0,53.71,100.0,0
379,50.0,100.0,55.56,48.28,35.71,0
380,0.0,33.33,55.0,38.89,100.0,0
381,100.0,93.33,57.14,50.0,0.0,0
382,68.29,50.98,50.0,0.0,0.0,0
383,50.0,48.96,0.0,25.0,50.0,0
384,42.11,75.0,71.43,55.71,60.0,0
385,50.0,70.0,57.95,57.14,53.85,0
386,100.0,58.33,65.62,40.0,42.86,0
387,0.0,50.0,33.33,44.44,33.33,0
388,0.0,40.0,58.06,16.67,0.0,0
389,42.86,57.89,50.0,50.0,45.45,0
390,0.0,57.14,37.5,33.33,62.86,0
391,100.0,50.0,58.33,57.33,75.0,0
392,52.08,47.78,80.0,65.38,56.25,0
393,64.0,66.67,0.0,0.0,50.0,0
394,100.0,85.71,13.33,100.0,100.0,0
395,0.0,61.54,33.33,55.56,0.0,0
396,50.0,50.0,100.0,100.0,33.33,0
397,80.0,80.0,50.0,100.0,100.0,0
398,50.0,62.5,0.0,57.14,14.29,0
399,37.5,59.26,50.0,52.83,50.0,0
400,62.5,100.0,80.0,100.0,100.0,0
401,66.67,65.22,42.86,100.0,47.06,0
402,56.16,60.0,66.67,66.67,50.0,0
403,53.12,53.75,66.67,48.48,40.0,0
404,0.0,0.0,0.0,0.0,70.0,0
405,33.33,0.0,37.5,54.55,28.57,0
406,60.0,58.62,56.36,67.35,68.75,0
407,28.57,0.0,50.0,0.0,0.0,0
408,0.0,40.0,0.0,50.0,50.0,0
409,0.0,45.45,40.0,50.0,51.43,0
410,0.0,50.0,100.0,25.0,50.0,0
411,100.0,100.0,58.33,50.0,60.71,0
412,50.0,50.0,55.56,0.0,33.33,0
413,42.22,40.0,38.46,56.43,0.0,0
414,20.0,50.0,46.15,53.49,45.45,0
415,71.15,58.82,0.0,33.33,42.86,0
416,76.19,100.0,66.67,48.28,75.0,0
417,80.0,38.46,0.0,78.26,60.0,0
418,63.64,25.0,25.0,50.0,42.86,0
419,100.0,60.0,80.0,75.0,54.12,0
420,50.0,75.0,33.33,33.33,50.0,0
421,53.45,50.0,51.78,50.0,61.29,0
422,73.91,53.85,60.0,46.94,52.0,0
423,50.98,58.82,35.71,51.79,100.0,0
424,39.39,50.0,57.14,50.0,50.0,0
425,60.0,55.56,57.14,0.0,63.64,0
426,57.14,75.0,62.5,27.27,100.0,0
427,50.0,0.0,50.0,0.0,62.79,0
428,40.0,100.0,57.14,33.33,85.71,0
429,33.33,61.54,33.33,75.0,0.0,0
430,100.0,67.14,52.38,66.67,54.55,0
431,40.91,43.48,0.0,33.33,0.0,0
432,0.0,57.14,37.5,58.82,40.0,0
433,52.94,57.14,37.5,54.29,66.67,0
434,50.0,56.52,100.0,40.0,100.0,0
435,50.0,57.14,53.85,33.33,100.0,0
436,53.33,66.67,50.0,40.0,42.86,0
437,55.56,60.0,73.91,100.0,83.33,0
438,100.0,50.0,73.68,71.43,53.85,0
439,0.0,37.5,0.0,66.67,0.0,0
440,41.67,40.0,44.83,35.56,56.52,0
441,45.45,59.26,52.63,33.33,55.17,0
442,40.0,63.64,66.67,44.44,100.0,0
443,45.45,43.9,45.45,59.81,0.0,0
444,49.07,62.79,81.25,0.0,48.48,0
445,41.67,16.67,75.0,20.0,50.0,0
446,50.0,100.0,100.0,38.46,100.0,0
447,60.0,66.67,65.91,63.64,50.0,0
448,47.06,31.58,0.0,48.68,43.21,0
449,70.0,61.58,59.72,62.96,75.0,0
450,50.0,100.0,55.56,75.0,100.0,0
451,57.14,0.0,55.17,0.0,0.0,0
452,42.86,0.0,57.78,45.95,63.64,0
453,63.64,0.0,55.17,44.12,49.06,0
454,0.0,63.46,47.83,0.0,0.0,0
455,66.67,70.0,0.0,0.0,0.0,0
456,100.0,100.0,61.04,100.0,50.0,0
457,66.67,100.0,50.0,51.61,50.0,0
458,50.0,0.0,46.15,66.67,50.0,0
459,0.0,40.0,0.0,75.0,0.0,0
460,0.0,100.0,54.55,42.86,70.83,0
461,100.0,66.67,75.0,100.0,83.33,0
462,72.73,80.0,36.36,45.53,40.0,0
463,44.26,0.0,33.33,50.74,51.08,0
464,77.78,43.48,54.17,44.07,62.5,0
465,88.89,40.0,60.0,50.0,100.0,0
466,16.67,63.16,52.63,50.0,0.0,0
467,100.0,59.76,60.71,42.55,53.33,0
468,48.39,63.33,58.06,33.33,69.27,0
469,56.45,40.74,33.33,25.0,50.0,0
470,64.29,59.26,66.67,71.43,69.23,0
471,50.0,57.89,50.0,0.0,71.93,0
472,0.0,50.0,0.0,0.0,56.25,0
473,52.63,49.72,40.0,100.0,100.0,0
474,41.67,47.37,50.0,75.0,51.35,0
475,75.0,44.44,70.0,20.0,20.0,0
476,55.0,40.0,70.0,0.0,100.0,0
477,66.67,50.0,59.26,53.33,54.55,0
478,57.69,0.0,0.0,0.0,40.0,0
479,61.9,85.71,40.0,100.0,50.0,0
480,40.0,66.67,76.92,100.0,0.0,0
481,49.15,33.33,0.0,56.76,64.29,0
482,66.67,59.09,50.0,100.0,20.0,0
483,0.0,42.86,0.0,0.0,0.0,0
484,0.0,41.67,55.56,60.0,33.33,0
485,33.33,100.0,72.73,80.0,50.0,0
486,42.86,0.0,47.62,42.86,56.14,0
487,100.0,61.54,70.0,87.5,84.21,0
488,16.67,42.86,63.64,0.0,16.67,0
489,100.0,50.0,100.0,53.57,37.5,0
490,66.67,71.43,50.0,33.33,53.66,0
491,0.0,0.0,51.85,60.0,40.0,0
492,50.0,50.0,0.0,54.55,60.0,0
493,50.0,60.0,75.0,50.0,100.0,0
494,66.67,66.67,81.82,33.33,50.0,0
495,53.33,60.0,80.0,40.0,66.67,0
496,42.86,58.33,42.11,50.0,57.89,0
497,50.0,57.89,45.54,51.61,55.56,0
498,53.85,50.0,40.43,100.0,58.93,0
499,20.0,66.67,42.86,0.0,50.0,0
500,71.43,60.78,43.33,50.49,37.5,0
501,0.0,66.67,50.0,0.0,55.56,0
502,100.0,64.91,66.67,42.86,40.0,0
503,50.0,49.4,55.56,60.0,40.0,0
504,33.33,52.94,0.0,42.11,50.0,0
505,50.0,61.54,100.0,100.0,33.33,0
506,57.14,0.0,60.0,50.0,0.0,0
507,46.94,100.0,100.0,100.0,52.0,0
508,50.0,22.22,100.0,75.0,0.0,0
509,56.16,61.9,75.0,64.44,66.67,0
510,80.0,50.0,50.0,50.0,75.0,0
511,46.65,100.0,87.5,48.87,100.0,0
512,75.0,80.0,80.0,53.85,57.14,0
513,57.58,75.0,100.0,54.55,100.0,0
514,46.03,100.0,46.15,66.67,100.0,0
515,0.0,64.29,50.0,0.0,0.0,0
516,0.0,39.39,44.44,73.08,100.0,0
517,50.0,66.67,60.0,50.0,56.41,0
518,0.0,33.33,33.33,57.14,0.0,0
519,30.0,100.0,54.76,41.18,72.22,0
520,33.33,0.0,66.67,60.0,65.85,0
521,50.0,62.5,49.25,30.0,51.11,0
522,44.26,50.0,69.32,52.58,45.0,0
523,47.57,42.86,100.0,63.64,100.0,0
524,47.83,67.74,100.0,78.26,55.21,0
525,0.0,57.14,48.28,40.0,57.14,0
526,64.52,100.0,100.0,37.5,62.5,0
527,47.27,44.96,40.0,46.81,70.21,0
528,33.33,53.9,0.0,33.33,54.55,0
529,100.0,100.0,47.06,57.14,100.0,0
530,51.43,0.0,60.0,50.0,33.33,0
531,71.15,100.0,50.0,62.79,50.0,0
532,50.79,40.0,28.57,0.0,25.0,0
533,50.0,100.0,100.0,41.67,60.0,0
534,40.0,42.86,0.0,0.0,0.0,0
535,59.46,60.96,0.0,61.54,56.36,0
536,100.0,51.35,50.0,47.93,55.56,0
537,66.67,42.11,85.71,71.43,66.67,0
538,0.0,0.0,52.17,50.0,16.67,0
539,50.0,50.0,72.0,51.33,50.0,0
540,53.75,44.44,64.86,57.89,61.82,0
541,62.5,66.67,62.5,56.41,16.67,0
542,50.0,41.94,25.0,70.0,65.85,0
543,53.33,52.94,75.0,57.14,35.71,0
544,100.0,41.67,33.33,44.9,100.0,0
545,63.21,68.18,57.14,55.36,55.26,0
546,50.0,56.16,60.0,50.96,53.33,0
547,25.0,50.0,0.0,58.33,33.33,0
548,62.5,54.55,55.56,58.33,66.67,0
549,50.0,0.0,66.67,0.0,55.56,0
550,0.0,100.0,66.67,23.08,33.33,0
551,87.5,56.16,50.0,57.78,54.29,0
552,0.0,0.0,33.33,0.0,0.0,0
553,71.15,100.0,33.33,40.74,67.71,0
554,56.1,0.0,25.0,30.77,54.55,0
555,40.0,66.67,50.0,100.0,100.0,0
556,65.22,52.68,50.0,83.33,75.0,0
557,50.0,0.0,0.0,61.9,57.45,0
558,75.0,73.33,83.33,80.0,50.0,0
559,46.96,25.0,33.33,0.0,0.0,0
560,40.0,50.0,66.67,66.67,40.0,0
561,53.33,60.0,58.33,0.0,48.39,0
562,100.0,100.0,71.43,20.0,45.45,0
563,50.0,50.0,42.11,47.71,60.0,0
564,50.0,50.0,40.0,51.94,0.0,0
565,72.73,100.0,50.0,100.0,60.0,0
566,42.11,50.0,0.0,43.75,75.0,0
567,75.0,100.0,60.0,100.0,50.0,0
568,59.09,33.33,33.33,27.27,33.33,0
569,100.0,50.0,46.15,0.0,54.55,0
570,58.82,43.75,43.48,50.0,66.67,0
571,56.5,100.0,100.0,58.33,30.0,0
572,56.5,57.14,50.0,0.0,68.18,0
573,33.33,100.0,100.0,54.55,40.0,0
574,0.0,50.0,40.0,51.61,25.0,0
575,56.52,37.5,71.43,44.44,100.0,0
576,33.33,100.0,45.16,54.9,50.0,0
577,60.0,28.57,48.15,60.0,0.0,0
578,25.0,100.0,66.67,100.0,67.44,0
579,100.0,57.14,80.0,66.67,66.67,0
